DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 104.07 20 42 93 b_quark 0 4.18 128.248 -51 -65 -98
b_quark 0 4.18 139.565 73 -26 -116 b_quark 0 4.18 164.084 -144 -67 41
b_quark 0 4.18 178.442 72 -96 132 b_quark 0 4.18 179.673 -82 146 -65
b_quark 0 4.18 174.231 -33 -105 135 b_quark 0 4.18 231.098 -66 117 -188
b_quark 0 4.18 41.0301 -9 36 17 b_quark 0 4.18 104.797 -56 50 -73
W+ 1 80.4 162.229 -138 -9 27 W- 1 80.4 176.486 109 -79 -81
W+ 1 80.4 172.537 78 70 -111 W- 1 80.4 167.61 -114 -77 52
b_quark 0 4.18 154.856 -47 -75 127 b_quark 0 4.18 204.31 60 10 -195
b_quark 0 4.18 169.86 -15 131 -107 b_quark 0 4.18 228.826 18 -186 132
b_quark 0 4.18 113.188 -107 36 -7 b_quark 0 4.18 190.506 175 57 -49
b_quark 0 4.18 78.0158 55 38 40 b_quark 0 4.18 200.867 -129 -100 -117
b_quark 0 4.18 151.88 -3 80 129 b_quark 0 4.18 138.255 84 -35 -104
b_quark 0 4.18 154.85 -131 -32 -76 b_quark 0 4.18 79.0599 68 40 3
W+ 1 80.4 108.546 -9 -71 14 W- 1 80.4 104.696 -64 -1 20
b_quark 0 4.18 109.756 -48 38 91 b_quark 0 4.18 183.596 76 -5 -167
W+ 1 80.4 216.874 -149 -63 -120 W- 1 80.4 202.845 133 108 73
b_quark 0 4.18 161.609 -20 -104 122 b_quark 0 4.18 90.363 40 62 -52
W+ 1 80.4 188.375 136 102 11 W- 1 80.4 149.205 -118 -5 -43
b_quark 0 4.18 166.203 53 59 146 b_quark 0 4.18 234.537 -5 -119 -202
W+ 1 80.4 191.596 -32 111 -130 W- 1 80.4 162.484 60 -31 124
b_quark 0 4.18 184.031 123 15 -136 b_quark 0 4.18 261.892 -215 12 149
Z 1 91.2 208.073 140 -1 124 Z 1 91.2 240.802 -164 86 -124
W+ 1 80.4 182.365 -63 -150 -18 W- 1 80.4 181.265 114 89 74
b_quark 0 4.18 50.3833 24 44 3 b_quark 0 4.18 130.321 -39 -71 -102
W+ 1 80.4 188.598 82 -141 -50 W- 1 80.4 218.152 -165 115 26
b_quark 0 4.18 181.335 128 55 -116 b_quark 0 4.18 320.318 -228 -101 201
b_quark 0 4.18 78.8383 49 41 -46 b_quark 0 4.18 77.1328 -26 30 66
W+ 1 80.4 185.54 72 24 149 W- 1 80.4 259.852 -77 -103 -211
b_quark 0 4.18 117.058 -4 -113 -30 b_quark 0 4.18 109.979 -18 105 27
b_quark 0 4.18 135.936 131 30 20 b_quark 0 4.18 211.271 -197 -60 47
b_quark 0 4.18 154.164 102 24 -113 b_quark 0 4.18 99.6568 -13 -63 76
b_quark 0 4.18 107.161 85 -65 4 b_quark 0 4.18 112.189 -50 50 87
b_quark 0 4.18 78.8636 24 1 75 b_quark 0 4.18 69.7744 29 59 -23
b_quark 0 4.18 109.304 -5 -104 33 b_quark 0 4.18 95.679 40 79 36
b_quark 0 4.18 188.092 -134 -118 59 b_quark 0 4.18 202.908 107 172 11
tau+ 0 1.78 123.11 58 -83 70 tau- 0 1.78 88.1542 -84 6 26
b_quark 0 4.18 188.349 -76 99 -141 b_quark 0 4.18 207.402 7 -10 207
b_quark 0 4.18 136.016 -113 67 35 b_quark 0 4.18 102.389 101 -3 16
W+ 1 80.4 150.576 24 108 -63 W- 1 80.4 171.538 17 -116 96
b_quark 0 4.18 145.95 -128 -42 -56 b_quark 0 4.18 193.252 178 67 -34
b_quark 0 4.18 180.539 8 -128 127 b_quark 0 4.18 308.58 -52 210 -220
tau+ 0 1.78 160.677 -107 -21 118 tau- 0 1.78 272.603 162 92 -199
b_quark 0 4.18 85.4779 -14 62 57 b_quark 0 4.18 58.2621 56 4 15
b_quark 0 4.18 130.945 76 -52 -93 b_quark 0 4.18 109.373 15 98 46
